factor_id,date_count,symbol_count,valid_date_count,raw_observation_count,zscore_observation_count,winsor_lower,winsor_upper,min_cross_section,chunk_year
market_beta_252,261,1079,90,73123,73093,0.01,0.99,30,2000
size_total_market_cap,261,1079,261,224869,224869,0.01,0.99,30,2000
value_bm,261,1079,199,12032,11609,0.01,0.99,30,2000
momentum_12_1,261,1079,9,8036,8036,0.01,0.99,30,2000
profitability_roe_ttm,261,1079,0,123,0,0.01,0.99,30,2000
investment_asset_growth,261,1079,0,0,0,0.01,0.99,30,2000
abnormal_turnover_21_252,261,1079,92,81960,81944,0.01,0.99,30,2000
market_beta_252,505,1146,334,288028,287998,0.01,0.99,30,2001
size_total_market_cap,505,1146,505,460195,460195,0.01,0.99,30,2001
value_bm,505,1146,443,31928,31505,0.01,0.99,30,2001
momentum_12_1,505,1146,253,236738,236738,0.01,0.99,30,2001
profitability_roe_ttm,505,1146,204,8825,8155,0.01,0.99,30,2001
investment_asset_growth,505,1146,195,12616,12216,0.01,0.99,30,2001
abnormal_turnover_21_252,505,1146,336,316811,316795,0.01,0.99,30,2001
market_beta_252,622,1217,453,424349,424349,0.01,0.99,30,2002
size_total_market_cap,622,1217,622,616431,616431,0.01,0.99,30,2002
value_bm,622,1217,598,168202,168002,0.01,0.99,30,2002
momentum_12_1,622,1217,370,376854,376854,0.01,0.99,30,2002
profitability_roe_ttm,622,1217,440,19796,19126,0.01,0.99,30,2002
investment_asset_growth,622,1217,347,26029,25814,0.01,0.99,30,2002
abnormal_turnover_21_252,622,1217,454,462628,462628,0.01,0.99,30,2002
market_beta_252,621,1279,452,466080,466080,0.01,0.99,30,2003
size_total_market_cap,621,1279,621,669188,669188,0.01,0.99,30,2003
value_bm,621,1279,599,414548,414368,0.01,0.99,30,2003
momentum_12_1,621,1279,369,399273,399273,0.01,0.99,30,2003
profitability_roe_ttm,621,1279,592,26871,26656,0.01,0.99,30,2003
investment_asset_growth,621,1279,347,141589,141395,0.01,0.99,30,2003
abnormal_turnover_21_252,621,1279,453,494909,494909,0.01,0.99,30,2003
market_beta_252,627,1368,458,500784,500784,0.01,0.99,30,2004
size_total_market_cap,627,1368,627,715410,715410,0.01,0.99,30,2004
value_bm,627,1368,617,665499,665437,0.01,0.99,30,2004
momentum_12_1,627,1368,375,426159,426159,0.01,0.99,30,2004
profitability_roe_ttm,627,1368,595,27543,27292,0.01,0.99,30,2004
investment_asset_growth,627,1368,365,388768,388697,0.01,0.99,30,2004
abnormal_turnover_21_252,627,1368,459,525181,525181,0.01,0.99,30,2004
market_beta_252,627,1378,458,515854,515854,0.01,0.99,30,2005
size_total_market_cap,627,1378,627,744219,744219,0.01,0.99,30,2005
value_bm,627,1378,622,690493,690436,0.01,0.99,30,2005
momentum_12_1,627,1378,375,436083,436083,0.01,0.99,30,2005
profitability_roe_ttm,627,1378,588,24609,24151,0.01,0.99,30,2005
investment_asset_growth,627,1378,370,401050,400990,0.01,0.99,30,2005
abnormal_turnover_21_252,627,1378,459,538049,538049,0.01,0.99,30,2005
market_beta_252,633,1447,464,517259,517259,0.01,0.99,30,2006
size_total_market_cap,633,1447,633,751058,751058,0.01,0.99,30,2006
value_bm,633,1447,626,691303,691234,0.01,0.99,30,2006
momentum_12_1,633,1447,381,400826,400826,0.01,0.99,30,2006
profitability_roe_ttm,633,1447,417,20378,15262,0.01,0.99,30,2006
investment_asset_growth,633,1447,374,388886,388819,0.01,0.99,30,2006
abnormal_turnover_21_252,633,1447,465,516348,516348,0.01,0.99,30,2006
market_beta_252,630,1560,461,502355,502355,0.01,0.99,30,2007
